;Universidades-D70;Calle26-D70;Av.39-D70;Calle57-D70;Polo-D70;EscuelaMilitar-D70;Av.68-D70;Granja.Cra77-D70;PortalDeLa80-D70;Universidades-K6;CentroMemoria-K6;PlazaDeLaDemocracia-K6;CiudadUniversitaria-K6;Corferias-K6;QuintaParedes-K6;Gobernacion-K6;CAN-K6;SalitreElGreco-K6;ElTiempoMaloka-K6;AvRojas-K6;Normandia-K6;Modelia-K6;PortalElDorado-K6;LasAguas-B74;MuseoDelOro-B74;AvJimenez-B74;Calle19-B74;Av.39-B74;Calle57-B74;Calle72-B74;Calle76-B74;Heroes-B74;Virrey-B74;Calle100-B74;PepeSierra-B74;Prado-B74;Calle142-B74;Toberin-B74;PortalNorte-B74;PortalElDorado-B16;Modelia-B16;Av.Rojas-B16;ElTiempoMaloka-B16;SalitreElGreco-B16;CAN-B16;Quintaparedes-B16;Corferias-B16;Av.Chile-B16;NQSCalle75-B16;PepeSierra-B16;Alcala-B16;Santafe-B16
PepeSierra-B74;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;130;112;104;34;999;999;999;999;999;999;999;999;999;999;0;999;999
Prado-B74;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;192;177;177;999;999;999;999;999;999;999;999;999;999;999;999;999
Calle142-B74;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;113;169;999;999;999;999;999;999;999;999;999;999;999;999;999
Toberin-B74;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;173;999;999;999;999;999;999;999;999;999;999;999;999;999
PortalNorte-B74;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999;999
PortalElDorado-B16;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;200;100;94;177;120;23;188;139;50;148;131;93
Modelia-B16;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;83;160;132;127;139;147;107;74;68;183;143
Av.Rojas-B16;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;80;45;80;122;20;57;38;122;200;162
ElTiempoMaloka-B16;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;23;187;68;153;39;27;199;67;197
SalitreElGreco-B16;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;55;63;147;61;21;159;96;179
CAN-B16;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;179;157;92;169;86;20;139
Quintaparedes-B16;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;190;23;43;132;116;118
Corferias-B16;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;52;22;51;198;190
Av.Chile-B16;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;27;178;155;137
NQSCalle75-B16;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;122;32;30
PepeSierra-B16;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;192;138
Alcala-B16;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;131
Santafe-B16;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0
