;Universidades-D70;Calle26-D70;Av.39-D70;Calle57-D70;Polo-D70;EscuelaMilitar-D70;Av.68-D70;Granja.Cra77-D70;PortalDeLa80-D70;Universidades-K6;CentroMemoria-K6;PlazaDeLaDemocracia-K6;CiudadUniversitaria-K6;Corferias-K6;QuintaParedes-K6;Gobernacion-K6;CAN-K6;SalitreElGreco-K6;ElTiempoMaloka-K6;AvRojas-K6;Normandia-K6;Modelia-K6;PortalElDorado-K6;LasAguas-B74;MuseoDelOro-B74;AvJimenez-B74;Calle19-B74;Av.39-B74;Calle57-B74;Calle72-B74;Calle76-B74;Heroes-B74;Virrey-B74;Calle100-B74;PepeSierra-B74;Prado-B74;Calle142-B74;Toberin-B74;PortalNorte-B74;PortalElDorado-B16;Modelia-B16;Av.Rojas-B16;ElTiempoMaloka-B16;SalitreElGreco-B16;CAN-B16;Quintaparedes-B16;Corferias-B16;Av.Chile-B16;NQSCalle75-B16;PepeSierra-B16;Alcala-B16;Santafe-B16
Heroes-B74;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;43;48;17;45;59;9;50;999;999;999;999;999;999;999;999;999;999;999;999;999
Virrey-B74;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;9;29;14;51;6;42;999;999;999;999;999;999;999;999;999;999;999;999;999
Calle100-B74;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;8;58;23;50;43;999;999;999;999;999;999;999;999;999;999;999;999;999
PepeSierra-B74;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;56;48;58;42;999;999;999;999;999;999;999;999;999;999;0;999;999
Prado-B74;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;10;30;60;999;999;999;999;999;999;999;999;999;999;999;999;999
Calle142-B74;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;58;34;999;999;999;999;999;999;999;999;999;999;999;999;999
Toberin-B74;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;29;999;999;999;999;999;999;999;999;999;999;999;999;999
PortalNorte-B74;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999;999
PortalElDorado-B16;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;7;9;10;7;8;9;5;7;10;10;8;7
Modelia-B16;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;7;9;11;7;7;8;4;5;5;8;7
Av.Rojas-B16;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;6;19;8;9;7;14;10;10;8;16
ElTiempoMaloka-B16;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;17;4;7;9;6;19;7;18;15
SalitreElGreco-B16;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;4;6;5;10;13;12;15;14
CAN-B16;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;8;9;16;13;20;20;12
Quintaparedes-B16;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;10;19;16;19;20;15
Corferias-B16;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;8;6;14;8;8
Av.Chile-B16;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;10;12;4;9
NQSCalle75-B16;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;19;18;20
PepeSierra-B16;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;14;11
Alcala-B16;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;11
Santafe-B16;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0
